"Cities_from_South_East","Region"
"Akron","East"
"Arlington","South"
"Asheville","South"
"Atlanta","South"
"Auburn","East"
"Auburn","South"
"Baltimore","East"
"Belleville","East"
"Bossier City","South"
"Bowling Green","South"
"Boynton Beach","South"
"Bridgeton","East"
"Bristol","South"
"Buffalo","East"
"Burlington","South"
"Cary","South"
"Chapel Hill","South"
"Charlotte","South"
"Charlottesville","South"
"Chester","East"
"Cincinnati","East"
"Clarksville","South"
"Cleveland","East"
"Clinton","East"
"Columbia","East"
"Columbia","South"
"Columbus","East"
"Columbus","South"
"Concord","East"
"Concord","South"
"Cranston","East"
"Daytona Beach","South"
"Decatur","South"
"Deltona","South"
"Dover","East"
"Dublin","East"
"Durham","South"
"Everett","East"
"Fairfield","East"
"Fayetteville","South"
"Florence","South"
"Fort Lauderdale","South"
"Franklin","East"
"Franklin","South"
"Gastonia","South"
"Greensboro","South"
"Greenville","South"
"Grove City","East"
"Gulfport","South"
"Hackensack","East"
"Hamilton","East"
"Henderson","South"
"Hialeah","South"
"Hoover","South"
"Huntsville","South"
"Jackson","South"
"Jacksonville","South"
"Jamestown","East"
"Kent","East"
"Lafayette","South"
"Lake Charles","South"
"Lakeland","South"
"Lakewood","East"
"Lancaster","East"
"Lawrence","East"
"Linden","East"
"Lindenhurst","East"
"Long Beach","East"
"Lorain","East"
"Louisville","South"
"Lowell","East"
"Macon","South"
"Manchester","East"
"Marion","East"
"Medina","East"
"Melbourne","South"
"Memphis","South"
"Miami","South"
"Middletown","East"
"Mobile","South"
"Monroe","South"
"Montgomery","South"
"Mount Vernon","East"
"Murfreesboro","South"
"Murray","South"
"New Brunswick","East"
"New Rochelle","East"
"New York City","East"
"Newark","East"
"Niagara Falls","East"
"Norwich","East"
"Oceanside","East"
"Palm Coast","South"
"Parma","East"
"Pembroke Pines","South"
"Perth Amboy","East"
"Philadelphia","East"
"Providence","East"
"Quincy","East"
"Raleigh","South"
"Richmond","South"
"Rochester","East"
"Roswell","South"
"Saint Petersburg","South"
"Salem","South"
"Smyrna","South"
"Springfield","South"
"Springfield","East"
"Suffolk","South"
"Tallahassee","South"
"Tamarac","South"
"Tampa","South"
"Thomasville","South"
"Toledo","East"
"Troy","East"
"Vineland","East"
"Virginia Beach","South"
"Warner Robins","South"
"Warwick","East"
"Washington","East"
"Watertown","East"
"Waynesboro","South"
"Westfield","East"
"Wilmington","East"
"Wilmington","South"
