"MONTH","TOTAL SALES","Category"
"February ","$        59,751.25","FUR, OFF, TEC"
"January  ","$        94,924.84","FUR, OFF, TEC"
"April    ","$      1,37,762.13","FUR, OFF, TEC"
"July     ","$      1,47,238.10","FUR, OFF, TEC"
"June     ","$      1,52,718.68","FUR, OFF, TEC"
"May      ","$      1,55,028.81","FUR, OFF, TEC"
"August   ","$      1,59,044.06","FUR, OFF, TEC"
"October  ","$      2,00,322.98","FUR, OFF, TEC"
"March    ","$      2,05,005.49","FUR, OFF, TEC"
"September","$      3,07,649.95","FUR, OFF, TEC"
"December ","$      3,25,293.50","FUR, OFF, TEC"
"November ","$      3,52,461.07","FUR, OFF, TEC"
