"Total Sales","State"
"451036.5823","California"
"279549.8235","New York"
"192758.2049","Texas"
"142838.5510","Pennsylvania"
"133177.2518","Washington"
"116635.4615","North Carolina"
"112819.7720","Illinois"
"81986.123","Arizona"
"74771.330","Ohio"
"58076.8598","Michigan"
"57523.1162","Colorado"
"51400.145","Georgia"
"50062.3805","Minnesota"
"50002.9898","Florida"
"46521.298","Virginia"
"40970.251","Wisconsin"
"36733.5832","Tennessee"
"31038.9918","Alabama"
"29143.845","Kentucky"
"28411.345","Massachusetts"
"22977.864","Indiana"
"21056.085","Delaware"
"20267.068","New Jersey"
"19347.245","Mississippi"
"18549.801","Connecticut"
"17327.171","Oregon"
"16625.868","Louisiana"
"16323.027","Utah"
"13013.175","Missouri"
"12782.890","Rhode Island"
"12426.147","Iowa"
"9720.146","New Hampshire"
"6492.410","Nebraska"
"6046.188","New Mexico"
"5135.818","Oklahoma"
"4582.556","Arkansas"
"2339.598","South Dakota"
"2198.450","District of Columbia"
"1727.652","Kansas"
"1588.810","Maryland"
"1214.986","Nevada"
