"Product ID","Name","Category","Total Sales","Total Quanity"
"TEC-CO-10004722","Canon imageCLASS 2200 Advanced Copier","Technology","61599.824","20"
"OFF-BI-10003527","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind","Office Supplies","27453.384","31"
"TEC-MA-10002412","Cisco TelePresence System EX90 Videoconferencing Unit","Technology","22638.48","6"
"FUR-CH-10002024","HON 5400 Series Task Chairs for Big and Tall","Furniture","21870.576","39"
"OFF-BI-10001359","GBC DocuBind TL300 Electric Binding System","Office Supplies","19823.479","37"
"OFF-BI-10000545","GBC Ibimaster 500 Manual ProClick Binding System","Office Supplies","19024.500","48"
"TEC-CO-10001449","Hewlett Packard LaserJet 3310 Copier","Technology","18839.686","38"
"TEC-MA-10001127","HP Designjet T520 Inkjet Large Format Printer - 24 Color","Technology","18374.895","12"
"OFF-BI-10004995","GBC DocuBind P400 Electric Binding System","Office Supplies","17965.068","27"
"OFF-SU-10000151","High Speed Automatic Electric Letter Opener","Office Supplies","17030.312","11"
"TEC-MA-10000822","Lexmark MX611dhe Monochrome Laser Printer","Technology","16829.901","18"
"OFF-SU-10002881","Martin Yale Chadless Opener Electric Letter Opener","Office Supplies","16656.200","22"
"OFF-BI-10001120","Ibico EPK-21 Electric Binding System","Office Supplies","15875.916","13"
"FUR-BO-10004834","Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish","Furniture","15610.9656","24"
"TEC-MA-10001047","3D Systems Cube Printer  2nd Generation  Magenta","Technology","14299.89","11"
"TEC-PH-10001459","Samsung Galaxy Mega 6.3","Technology","13943.668","39"
"TEC-AC-10002049","Logitech G19 Programmable Gaming Keyboard","Technology","13756.536","60"
"TEC-PH-10002885","Apple iPhone 5","Technology","12996.600","24"
"FUR-TA-10003473","Bretford Rectangular Conference Table Tops","Furniture","12995.2915","46"
"FUR-CH-10001215","Global Troy Executive Leather Low-Back Tilter","Furniture","12975.382","32"
"FUR-BO-10002213","DMI Eclipse Executive Suite Bookcases","Furniture","12921.643","42"
"TEC-CO-10003763","Canon PC1060 Personal Laser Copier","Technology","11619.834","19"
"FUR-CH-10004287","SAFCO Arco Folding Chair","Furniture","11572.78","53"
"OFF-AP-10002945","Honeywell Enviracaire Portable HEPA Air Cleaner for 17 x 22 Room","Office Supplies","11304.44","40"
"TEC-AC-10003832","Logitech P710e Mobile Speakerphone","Technology","11203.756","75"
"TEC-MA-10000418","Cubify CubeX 3D Printer Double Head Print","Technology","11099.963","9"
"OFF-ST-10000078","Tennsco 6- and 18-Compartment Lockers","Office Supplies","10925.004","43"
"TEC-AC-10003033","Plantronics CS510 - Over-the-Head monaural Wireless Headset System","Technology","10822.36","35"
"FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back","Furniture","10637.528","51"
"FUR-TA-10000198","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","Furniture","9917.640","27"
"OFF-ST-10003716","Tennsco Double-Tier Lockers","Office Supplies","9630.856","47"
"FUR-TA-10001889","Bush Advantage Collection Racetrack Conference Table","Furniture","9544.725","33"
"TEC-MA-10000488","Bady BDG101FRU Card Printer","Technology","9279.884","14"
"OFF-ST-10004459","Tennsco Single-Tier Lockers","Office Supplies","9158.296","28"
"FUR-CH-10003973","GuestStacker Chair with Chrome Finish Legs","Furniture","9070.944","31"
"TEC-CO-10001046","Canon Imageclass D680 Copier / Fax","Technology","8959.872","16"
"TEC-CO-10002095","Hewlett Packard 610 Color Digital Copier / Printer","Technology","8899.822","21"
"TEC-PH-10001817","Wilson Electronics DB Pro Signal Booster","Technology","8878.4","32"
"FUR-CH-10001854","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","Furniture","8774.500","28"
"FUR-CH-10004063","Global Deluxe High-Back Managers Chair","Furniture","8665.194","35"
"FUR-CH-10004086","Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs","Furniture","8430.997","34"
"FUR-TA-10001095","Chromcraft Round Conference Tables","Furniture","8209.059","61"
"OFF-ST-10001490","Hot File 7-Pocket  Floor Stand","Office Supplies","8138.232","49"
"TEC-PH-10001530","Cisco Unified IP Phone 7945G VoIP phone","Technology","8111.136","34"
"OFF-BI-10003925","Fellowes PB300 Plastic Comb Binding Machine","Office Supplies","8070.192","27"
"TEC-MA-10004125","Cubify CubeX 3D Printer Triple Head Print","Technology","7999.98","4"
"OFF-BI-10004600","Ibico Ibimaster 300 Manual Binding System","Office Supplies","7985.383","28"
"FUR-CH-10003379","Global Commerce Series High-Back Swivel/Tilt Chairs","Furniture","7979.440","33"
"TEC-MA-10000984","Okidata MB760 Printer","Technology","7834.4","7"
"OFF-ST-10003208","Adjustable Depth Letter/Legal Cart","Office Supplies","7730.196","45"
"TEC-MA-10003979","Ativa V4110MDD Micro-Cut Shredder","Technology","7699.89","11"
"TEC-PH-10004165","Mitel MiVoice 5330e IP Phone","Technology","7699.720","34"
"FUR-CH-10002331","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","Furniture","7582.374","24"
"FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors","Furniture","7539.7122","35"
"OFF-ST-10001780","Tennsco 16-Compartment Lockers with Coat Rack","Office Supplies","7515.524","13"
"TEC-PH-10002200","Samsung Galaxy Note 2","Technology","7437.886","30"
"FUR-TA-10003954","Hon 94000 Series Round Tables","Furniture","7404.500","30"
"TEC-AC-10004145","Logitech diNovo Edge Keyboard","Technology","7399.704","31"
"FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Furniture","7242.7680","29"
"TEC-PH-10000560","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Technology","7139.796","28"
"TEC-MA-10000045","Zebra ZM400 Thermal Label Printer","Technology","6965.7","6"
"FUR-TA-10002958","Bevis Oval Conference Table  Walnut","Furniture","6942.068","36"
"FUR-CH-10002335","Hon GuestStacker Chair","Furniture","6936.102","34"
"TEC-PH-10001795","ClearOne CHATAttach 160 - speaker phone","Technology","6935.862","16"
"OFF-AP-10002651","Hoover Upright Vacuum With Dirt Cup","Office Supplies","6832.908","31"
"OFF-ST-10003470","Tennsco Snap-Together Open Shelving Units  Starter Sets and Add-On Units","Office Supplies","6819.312","25"
"OFF-BI-10003650","GBC DocuBind 300 Electric Binding Machine","Office Supplies","6785.142","23"
"FUR-TA-10003569","Bretford CR8500 Series Meeting Room Furniture","Furniture","6776.562","21"
"FUR-CH-10004997","Hon Every-Day Series Multi-Task Chairs","Furniture","6748.482","43"
