"ID","Total sales"
"SM-20320","25043.050"
"TC-20980","19052.218"
"RB-19360","15117.339"
"TA-21385","14595.620"
"AB-10105","14473.571"
"KL-16645","14175.229"
"SC-20095","14142.334"
"HL-15040","12873.298"
"SE-20110","12209.438"
"CC-12370","12129.072"
"TS-21370","11891.751"
"GT-14710","11820.120"
"BM-11140","11789.630"
"SV-20365","11470.950"
"CJ-12010","11164.974"
"CL-12565","10880.546"
"ME-17320","10663.728"
"KF-16285","10604.266"
"BS-11365","10501.653"
"EH-13765","10310.880"
"JL-15835","9799.923"
"GT-14635","9351.212"
"HW-14935","9300.254"
"TB-21400","9133.990"
"PF-19120","9062.864"
"CM-12385","8954.020"
"JD-16150","8828.0305"
"JE-15715","8697.843"
"LA-16780","8673.222"
"PK-19075","8646.934"
"DR-12940","8350.868"
"NF-18385","8322.826"
"KD-16270","8282.358"
"NC-18535","8241.739"
"HM-14860","8236.7648"
"KD-16495","8181.256"
"SB-20290","8057.891"
"ZC-21910","8025.707"
"JH-15985","7954.998"
"NP-18700","7903.1825"
"AH-10690","7888.294"
"AB-10060","7755.620"
"JE-15610","7754.976"
"JW-15220","7721.714"
"LC-16885","7663.126"
"JM-15865","7625.076"
"JD-15895","7610.864"
"PO-18850","7473.8282"
"MS-17365","7443.690"
"RW-19540","7397.401"
"BM-11650","7294.185"
"PP-18955","7252.608"
"NW-18400","7234.014"
"Dp-13240","7198.761"
"FH-14365","6987.196"
"RH-19510","6979.18"
"PS-19045","6843.634"
"BB-11545","6765.728"
"JE-15745","6760.815"
"YS-21880","6720.444"
"AR-10540","6608.448"
"DR-12880","6528.034"
"GK-14620","6497.270"
"JA-15970","6491.026"
"NM-18445","6459.344"
"VD-21670","6442.254"
"SB-20185","6410.996"
"JG-15160","6366.392"
"DM-13015","6345.103"
"CM-12655","6339.5576"
"MJ-17740","6320.746"
"BH-11710","6255.351"
"RL-19615","6234.910"
"WB-21850","6160.102"
"VW-21775","6134.038"
