"sale_per_item","total_sold","order_count","max_sale_per_order","min_sale_per_order","average_sale_per_order","id"
"23661.228","25","7","22638.48","8.016","3380","CA-2014-145317"
"18336.74","18","5","17499.95","32.48","3667","CA-2016-118689"
"14052.48","9","3","13999.96","20.04","4684","CA-2017-140151"
"13716.458","18","4","11199.968","52.99","3429","CA-2017-127180"
"10539.896","37","7","8159.952","9.936","1506","CA-2014-139892"
"10499.97","3","1","10499.97","10499.97","10500","CA-2017-166709"
"9900.19","17","4","9449.95","12.94","2475","CA-2014-116904"
"9892.74","13","1","9892.74","9892.74","9893","CA-2016-117121"
"9135.19","14","3","9099.93","9.96","3045","US-2016-107440"
"8805.04","20","3","8749.95","18.69","2935","CA-2016-158841"
"8539.020","10","4","8399.976","6.294","2135","CA-2016-143714"
"8319.29","17","3","8187.65","53.72","2773","CA-2014-143917"
"8167.42","6","2","7999.98","167.44","4084","US-2017-168116"
"7678.228","40","10","4228.704","14.9","768","US-2015-126977"
"7359.918","52","14","2888.127","4.36","526","CA-2017-100111"
"6999.96","4","1","6999.96","6999.96","7000","CA-2014-145541"
"6412.77","12","4","6354.95","2.74","1603","CA-2015-145352"
"6160.616","13","2","4007.84","2152.776","3080","CA-2014-128209"
"6125.822","18","4","4899.93","26.38","1531","US-2016-143819"
"5850.514","16","5","4643.8","11.82","1170","CA-2015-114811"
"5802.70","14","3","5443.96","56.07","1934","CA-2017-138289"
"5579.940","10","2","3059.982","2519.958","2790","US-2014-106992"
"5549.41","13","3","5399.91","30.4","1850","US-2016-140158"
"5509.142","10","3","5199.96","87.8","1836","CA-2017-143112"
"5325.884","13","3","5083.96","31.984","1775","CA-2017-135909"
"5282.648","10","2","4799.984","482.664","2641","CA-2017-149881"
"5016.549","10","3","4499.985","59.976","1672","CA-2016-108196"
"4940.87","5","2","4912.59","28.28","2470","CA-2016-136301"
"4909.61","9","2","4899.93","9.68","2455","US-2015-128587"
"4835.976","32","6","3999.95","44.4","806","CA-2016-128818"
"4823.09","8","3","4476.8","104.85","1608","CA-2016-100300"
"4807.372","14","5","3991.98","43.57","961","CA-2014-164973"
"4749.327","10","3","4663.736","5.607","1583","CA-2017-158379"
"4685.076","12","3","4535.976","35.88","1562","CA-2016-138478"
"4630.5105","21","3","3610.848","254.9745","1544","CA-2014-168494"
"4619.33","19","4","4164.05","32.4","1155","US-2017-167402"
"4607.27","12","3","3149.93","209.7","1536","CA-2015-111829"
"4590.344","28","5","4367.896","2.784","918","CA-2017-129021"
"4548.81","7","1","4548.81","4548.81","4549","CA-2014-144624"
"4472.32","20","5","2405.2","17.38","894","CA-2017-121559"
"4438.686","12","5","4355.168","3.048","888","CA-2016-129714"
"4416.174","9","1","4416.174","4416.174","4416","CA-2017-118892"
"4406.072","14","4","3930.072","2.304","1102","CA-2016-103982"
"4404.9","5","1","4404.9","4404.9","4405","CA-2015-117086"
"4374.88","24","7","2573.82","5.48","625","CA-2014-167199"
"4337.640","13","2","4305.552","32.088","2169","US-2017-102183"
"4317.3","22","3","2275.5","62.1","1439","CA-2016-113831"
"4297.644","13","1","4297.644","4297.644","4298","CA-2015-116638"
"4283.792","35","7","2799.96","16.99","612","CA-2014-160766"
"4251.92","22","5","4164.05","12.96","850","CA-2014-102988"
"4210.65","27","5","2003.92","32.4","842","CA-2015-137113"
"4190.206","17","4","2025.36","101.988","1048","CA-2015-147830"
"4189.38","13","4","2999.95","11.96","1047","CA-2017-127432"
"4173.812","13","2","4158.912","14.9","2087","CA-2016-159016"
"4150.972","13","4","2395.2","7.992","1038","CA-2017-168109"
"4104.174","25","4","3406.664","37.17","1026","CA-2016-107104"
"3999.702","4","2","3812.97","186.732","2000","CA-2015-120782"
"3963.57","11","3","3504.9","144.12","1321","CA-2016-122903"
"3955.507","46","9","1336.829","9.68","440","CA-2017-117457"
"3862.098","22","4","2973.32","8.26","966","CA-2015-149846"
"3859.488","19","3","2793.528","65.94","1286","CA-2017-119809"
"3785.292","6","1","3785.292","3785.292","3785","CA-2014-116246"
"3769.56","22","5","3499.93","9.32","754","CA-2014-163223"
"3747.93","14","3","3080","79.96","1249","CA-2015-102491"
"3745.63","24","5","2001.86","25.92","749","CA-2014-131926"
"3740.510","11","3","2803.92","3.328","1247","CA-2017-102204"
"3714.304","38","7","1706.184","7.28","531","CA-2014-115812"
"3631.96","37","9","1690.04","14.6","404","CA-2015-158421"
"3629.936","34","5","2065.32","15.552","726","US-2017-110576"
"3588.096","26","5","1537.074","16.752","718","CA-2016-124590"
"3528.488","14","3","3023.928","26.96","1176","CA-2016-160717"
"3519.370","25","6","1349.91","30.98","587","CA-2014-125997"
"3505.84","8","2","3404.5","101.34","1753","CA-2017-165323"
"3480.96","13","3","1928.78","352.38","1160","CA-2017-137596"
"3455.130","25","5","1579.746","34.86","691","US-2014-148838"
"3419.872","17","3","2309.65","19.44","1140","CA-2015-124891"
"3397.732","30","7","2518.29","8.56","485","CA-2017-166093"
"3393.68","8","1","3393.68","3393.68","3394","CA-2015-164301"
"3385.614","35","10","1217.568","6.16","339","CA-2015-131338"
"3384.518","18","5","2799.944","19.44","677","US-2015-160857"
"3384.45","6","2","3357.6","26.85","1692","CA-2016-169663"
"3359.952","6","1","3359.952","3359.952","3360","CA-2017-133865"
"3354.98","14","2","3347.37","7.61","1677","CA-2016-145625"
"3339.122","32","7","2887.056","12.672","477","US-2016-126452"
"3333.90","10","2","2715.93","617.97","1667","CA-2014-117639"
"3332.974","18","3","2249.91","29.9","1111","US-2015-134558"
"3329.434","28","7","3083.43","3.264","476","US-2015-150630"
"3321.278","23","4","2404.704","8.64","830","CA-2017-122490"
"3291.07","19","4","2249.91","5.32","823","CA-2017-143567"
"3290.516","11","3","3266.376","6.24","1097","CA-2014-144414"
"3251.34","18","5","2548.56","68.52","650","CA-2015-135580"
"3247.158","13","3","1856.19","111","1082","US-2014-131275"
"3236.41","23","4","3040","33.75","809","CA-2016-133711"
"3184.356","5","2","3050.376","133.98","1592","US-2015-163825"
"3165.744","25","8","1123.92","3.768","396","CA-2015-121720"
"3136.868","10","3","2799.96","48.94","1046","CA-2016-135265"
"3116.49","15","3","2934.33","57.75","1039","CA-2014-119375"
"3098.61","10","3","2999.95","34.54","1033","CA-2017-133263"
"3083.94","14","5","1879.96","27.46","617","CA-2017-141439"
"3059.982","2","1","3059.982","3059.982","3060","CA-2017-159366"
"3013.78","17","4","1633.14","9.64","753","CA-2017-152912"
"3002.65","11","2","2939.93","62.72","1501","US-2017-105935"
"2971.792","26","8","879.984","28.4","371","CA-2017-161956"
"2970.432","9","2","2879.952","90.48","1485","CA-2017-145219"
"2942.784","31","7","2239.936","31.168","420","CA-2017-119284"
"2911.784","17","3","2357.488","184.752","971","US-2017-163300"
"2904.572","16","3","1684.752","559.92","968","US-2016-163881"
"2888.518","30","4","1704.56","3.2","722","CA-2017-115602"
"2884.37","14","4","2244.48","62.31","721","CA-2014-136567"
"2875.544","21","3","2575.944","45.36","959","US-2016-116729"
"2854.48","12","2","2807.84","46.64","1427","CA-2014-120474"
"2846.22","19","5","1687.8","14.94","569","CA-2014-133592"
"2824.23","8","2","2799.96","24.27","1412","CA-2016-129630"
"2803.92","5","1","2803.92","2803.92","2804","CA-2015-164777"
"2799.96","5","1","2799.96","2799.96","2800","US-2015-100377"
"2781.77","16","3","2079.4","72.42","927","CA-2016-163804"
"2747.25","9","2","2690.97","56.28","1374","CA-2017-157854"
"2737.672","24","5","2399.96","32.232","548","US-2017-141677"
"2735.952","6","1","2735.952","2735.952","2736","CA-2014-154627"
"2717.31","8","2","2453.43","263.88","1359","CA-2015-139731"
"2692.329","9","2","2624.985","67.344","1346","CA-2014-127299"
"2690.74","14","2","2665.62","25.12","1345","CA-2017-123967"
"2678.94","6","1","2678.94","2678.94","2679","US-2016-164196"
"2676.672","9","1","2676.672","2676.672","2677","CA-2015-111038"
"2673.69","18","4","1263.3","101.7","668","CA-2016-163167"
"2670.19","14","3","1379.92","22.74","890","CA-2015-124450"
"2657.81","27","4","1951.84","149.97","664","CA-2016-114489"
"2656.716","31","6","2177.584","4.836","443","CA-2014-169019"
"2645.021","29","4","999.432","2.724","661","CA-2015-146563"
"2643.06","11","2","2625.12","17.94","1322","CA-2015-123113"
"2633.51","9","2","2591.56","41.95","1317","CA-2017-112333"
"2621.322","11","1","2621.322","2621.322","2621","CA-2015-160227"
"2620.9376","13","4","2396.2656","35.952","655","CA-2016-108987"
"2613.309","22","5","2549.985","8.964","523","CA-2017-134845"
"2610.730","33","6","1889.946","9.248","435","US-2017-161935"
"2595.388","12","3","2036.86","108.96","865","CA-2017-107174"
"2583.19","15","3","1737.18","141.76","861","CA-2014-141313"
"2572.50","17","5","1447.65","5.56","515","CA-2015-155306"
"2567.84","8","1","2567.84","2567.84","2568","CA-2015-120677"
"2563.314","22","8","1473.1","11.952","320","CA-2017-156776"
"2563.056","8","1","2563.056","2563.056","2563","CA-2016-169670"
"2562.171","26","9","1295.84","5.04","285","CA-2015-164882"
"2550.587","31","9","552.56","23.16","283","US-2016-114013"
