"Total Quantity","ID"
"52","CA-2017-100111"
"46","CA-2016-105732"
"46","CA-2017-117457"
"45","CA-2014-106439"
"43","CA-2016-165330"
"43","CA-2017-140949"
"42","CA-2016-145177"
"41","CA-2015-132626"
"41","US-2016-103674"
"41","CA-2015-104346"
"41","US-2016-108504"
"40","CA-2017-157987"
"40","US-2015-126977"
"39","CA-2017-151750"
"39","CA-2014-129364"
"39","CA-2014-122336"
"38","CA-2014-115812"
"38","CA-2017-118017"
"37","US-2016-110156"
"37","CA-2014-139892"
"37","CA-2015-158421"
"36","US-2017-112347"
"36","CA-2014-110786"
"35","CA-2014-160766"
"35","CA-2017-164756"
"35","CA-2015-131338"
"35","CA-2015-162201"
"34","US-2014-155502"
"34","CA-2017-106859"
"34","US-2017-110576"
"33","CA-2016-158694"
"33","US-2017-161935"
"33","CA-2016-145583"
"33","CA-2016-152730"
"33","CA-2015-142237"
"32","CA-2016-128818"
"32","CA-2014-158372"
"32","CA-2015-167010"
"32","US-2017-109253"
"32","CA-2016-109365"
"32","CA-2015-103135"
"32","US-2016-126452"
"32","CA-2015-124800"
"32","CA-2017-128965"
"31","CA-2014-169019"
"31","CA-2017-119284"
"31","CA-2014-131947"
"31","CA-2014-118339"
"31","CA-2015-150714"
"31","CA-2015-144806"
"31","US-2017-163790"
"31","US-2016-114013"
"31","CA-2016-106950"
"31","CA-2014-124737"
"30","CA-2017-110905"
"30","CA-2015-165624"
"30","CA-2017-115602"
"30","CA-2016-120824"
"30","CA-2015-126725"
"30","CA-2017-166093"
"30","CA-2017-123491"
"29","CA-2016-150350"
"29","CA-2015-119291"
"29","CA-2014-102673"
"29","US-2016-148901"
"29","CA-2017-104731"
"29","CA-2017-104864"
"29","CA-2016-103730"
"29","CA-2015-146563"
"28","CA-2017-128363"
"28","CA-2017-100223"
"28","CA-2014-154599"
"28","US-2015-150630"
"28","CA-2015-126557"
"28","US-2017-155425"
"28","CA-2017-129021"
"27","CA-2014-126361"
"27","CA-2016-114489"
"27","CA-2016-126732"
"27","US-2016-169040"
"27","CA-2015-137113"
"27","CA-2017-152310"
"27","US-2014-147627"
"27","CA-2014-156244"
"27","CA-2014-122931"
"27","CA-2014-165309"
"27","CA-2014-144666"
"26","CA-2016-124590"
"26","CA-2017-141117"
"26","CA-2015-164882"
"26","CA-2017-134194"
"26","US-2017-142188"
"26","US-2017-147886"
"26","CA-2017-161956"
"26","CA-2016-157161"
"26","CA-2014-167927"
"26","CA-2015-102281"
"26","CA-2015-132486"
"26","CA-2015-121188"
"26","US-2015-164448"
"26","US-2016-131611"
"26","CA-2017-108574"
"26","CA-2016-169943"
"25","CA-2016-157749"
"25","US-2016-125402"
"25","CA-2014-115259"
"25","CA-2015-112130"
"25","CA-2014-125997"
"25","CA-2016-145982"
"25","CA-2015-121720"
"25","CA-2015-135685"
"25","CA-2015-160472"
"25","CA-2016-111682"
"25","CA-2015-163181"
"25","US-2017-124779"
"25","CA-2016-116596"
"25","CA-2016-107104"
"25","CA-2014-145317"
"25","US-2014-148838"
"25","US-2016-141544"
"25","CA-2014-163552"
"25","US-2016-139087"
"25","CA-2016-145261"
"25","CA-2017-140872"
"24","CA-2014-131926"
"24","CA-2016-146934"
"24","CA-2017-113278"
"24","CA-2014-124730"
"24","CA-2014-166863"
"24","CA-2014-153969"
"24","CA-2014-146591"
"24","CA-2017-111332"
"24","CA-2016-137050"
"24","US-2014-119137"
"24","CA-2015-109470"
"24","CA-2015-130974"
"24","CA-2016-163776"
"24","CA-2016-125738"
"24","US-2016-132577"
"24","CA-2014-134215"
"24","US-2017-141677"
"24","CA-2017-117667"
"24","CA-2014-167199"
"23","CA-2016-148852"
"23","US-2017-162558"
"23","CA-2014-140858"
"23","CA-2015-109386"
"23","US-2017-147669"
"23","CA-2017-140480"
"23","CA-2016-124352"
"23","CA-2016-163328"
"23","CA-2016-126158"
"23","CA-2016-133711"
"23","CA-2016-134803"
"23","US-2016-167472"
"23","CA-2017-117212"
"23","US-2015-129007"
"23","CA-2017-138975"
"23","CA-2017-167941"
"23","CA-2017-150910"
"23","US-2017-117534"
"23","US-2016-115441"
"23","CA-2017-122490"
"23","US-2015-138093"
"23","CA-2014-103989"
"22","US-2015-123960"
"22","CA-2017-125451"
"22","CA-2017-102925"
"22","CA-2017-169859"
"22","US-2017-123862"
"22","CA-2015-149846"
"22","CA-2017-122035"
"22","CA-2017-134845"
"22","CA-2016-166674"
"22","CA-2017-126074"
"22","CA-2017-121048"
"22","CA-2017-156776"
"22","US-2017-133200"
"22","CA-2016-113831"
"22","CA-2017-135937"
"22","CA-2014-111451"
"22","CA-2017-131807"
"22","CA-2015-161263"
"22","CA-2015-105627"
"22","US-2016-144057"
"22","US-2015-159982"
"22","CA-2014-163223"
"22","US-2017-133361"
"22","CA-2014-102988"
"22","CA-2016-127243"
"22","CA-2016-167556"
"22","CA-2016-162390"
"22","CA-2016-102561"
"22","US-2015-115238"
"22","CA-2017-131954"
"22","CA-2015-169397"
"22","CA-2015-124541"
"21","CA-2017-139311"
"21","US-2017-118087"
"21","CA-2015-125934"
"21","US-2015-138121"
"21","US-2017-167920"
"21","CA-2015-109575"
"21","CA-2017-156958"
"21","CA-2016-142545"
"21","CA-2014-125829"
"21","CA-2014-168494"
"21","CA-2017-101805"
"21","CA-2015-113145"
"21","CA-2017-164826"
"21","CA-2014-142769"
"21","CA-2015-146262"
"21","US-2015-163433"
"21","CA-2014-114510"
"21","CA-2016-116526"
"21","US-2016-165505"
"21","CA-2014-120768"
"21","US-2016-115819"
"21","CA-2015-153038"
"21","US-2017-165344"
"21","CA-2017-112515"
"21","CA-2015-120621"
"21","CA-2015-116092"
"21","US-2015-127040"
"21","CA-2017-139913"
"21","US-2017-116652"
"21","CA-2017-156951"
"21","US-2017-106145"
"21","CA-2016-152170"
"21","US-2014-123183"
"21","CA-2014-107818"
"21","CA-2016-138695"
"21","US-2016-116729"
"21","CA-2016-115756"
"21","CA-2017-166317"
"20","CA-2015-138009"
"20","CA-2015-108259"
"20","CA-2014-163468"
"20","CA-2017-144498"
"20","CA-2017-104220"
"20","CA-2017-135860"
"20","CA-2016-159940"
"20","CA-2015-153416"
"20","CA-2015-144274"
"20","CA-2016-129280"
"20","CA-2016-110772"
"20","CA-2016-153661"
"20","CA-2016-133935"
"20","CA-2014-162775"
"20","CA-2017-121559"
"20","CA-2014-131009"
"20","US-2014-151015"
"20","CA-2015-149713"
"20","CA-2014-117464"
"20","CA-2016-158841"
"20","US-2015-126753"
"20","CA-2014-111500"
"20","CA-2014-154095"
"20","CA-2017-105991"
"20","CA-2016-132829"
"20","CA-2017-137463"
"20","CA-2016-109869"
"20","CA-2017-111591"
"20","US-2014-147704"
"20","US-2014-140452"
"20","US-2014-114188"
"20","CA-2014-145387"
"20","CA-2017-129378"
"19","CA-2017-145233"
"19","CA-2016-142405"
"19","CA-2016-100244"
"19","CA-2015-137974"
"19","CA-2016-140081"
"19","CA-2017-127306"
"19","CA-2016-128531"
"19","CA-2016-164770"
"19","CA-2017-150266"
"19","CA-2014-133592"
"19","CA-2015-117415"
"19","CA-2017-105669"
"19","CA-2017-167640"
"19","CA-2016-140501"
"19","CA-2016-123358"
"19","CA-2015-113628"
"19","CA-2017-109701"
"19","CA-2017-117401"
"19","CA-2016-162187"
"19","CA-2017-119809"
"19","CA-2016-148684"
"19","CA-2017-122770"
"19","CA-2017-143567"
"19","CA-2014-101560"
"19","US-2017-167402"
"19","CA-2017-156237"
"19","CA-2016-109666"
"19","US-2016-124163"
"19","CA-2015-137925"
"19","CA-2015-168207"
"19","CA-2016-168354"
"19","CA-2016-145919"
"19","CA-2014-151330"
"19","CA-2014-127131"
"19","US-2016-157490"
"19","CA-2015-127173"
"19","CA-2014-103492"
"19","CA-2014-162089"
"19","CA-2017-151981"
"18","CA-2014-131450"
"18","CA-2014-108189"
"18","CA-2015-146486"
"18","CA-2015-135580"
