"ID","Priority","Sale"
"CA-2014-145317","High Value","23661.228"
"CA-2016-118689","High Value","18336.74"
"CA-2017-140151","High Value","14052.48"
"CA-2017-127180","High Value","13716.458"
"CA-2014-139892","High Value","10539.896"
"CA-2017-166709","High Value","10499.97"
"CA-2014-116904","Normal","9900.19"
"CA-2016-117121","Normal","9892.74"
"US-2016-107440","Normal","9135.19"
"CA-2016-158841","Normal","8805.04"
"CA-2016-143714","Normal","8539.020"
"CA-2014-143917","Normal","8319.29"
"US-2017-168116","Normal","8167.42"
"US-2015-126977","Normal","7678.228"
"CA-2017-100111","Normal","7359.918"
"CA-2014-145541","Normal","6999.96"
"CA-2015-145352","Normal","6412.77"
"CA-2014-128209","Normal","6160.616"
"US-2016-143819","Normal","6125.822"
"CA-2015-114811","Normal","5850.514"
"CA-2017-138289","Normal","5802.70"
"US-2014-106992","Normal","5579.940"
"US-2016-140158","Normal","5549.41"
"CA-2017-143112","Normal","5509.142"
"CA-2017-135909","Normal","5325.884"
"CA-2017-149881","Normal","5282.648"
"CA-2016-108196","Normal","5016.549"
"CA-2016-136301","Normal","4940.87"
"US-2015-128587","Normal","4909.61"
"CA-2016-128818","Normal","4835.976"
"CA-2016-100300","Normal","4823.09"
"CA-2014-164973","Normal","4807.372"
"CA-2017-158379","Normal","4749.327"
"CA-2016-138478","Normal","4685.076"
"CA-2014-168494","Normal","4630.5105"
"US-2017-167402","Normal","4619.33"
"CA-2015-111829","Normal","4607.27"
"CA-2017-129021","Normal","4590.344"
"CA-2014-144624","Normal","4548.81"
"CA-2017-121559","Normal","4472.32"
"CA-2016-129714","Normal","4438.686"
"CA-2017-118892","Normal","4416.174"
"CA-2016-103982","Normal","4406.072"
"CA-2015-117086","Normal","4404.9"
"CA-2014-167199","Normal","4374.88"
"US-2017-102183","Normal","4337.640"
"CA-2016-113831","Normal","4317.3"
"CA-2015-116638","Normal","4297.644"
"CA-2014-160766","Normal","4283.792"
"CA-2014-102988","Normal","4251.92"
"CA-2015-137113","Normal","4210.65"
"CA-2015-147830","Normal","4190.206"
"CA-2017-127432","Normal","4189.38"
"CA-2016-159016","Normal","4173.812"
"CA-2017-168109","Normal","4150.972"
"CA-2016-107104","Normal","4104.174"
"CA-2015-120782","Normal","3999.702"
"CA-2016-122903","Normal","3963.57"
"CA-2017-117457","Normal","3955.507"
"CA-2015-149846","Normal","3862.098"
"CA-2017-119809","Normal","3859.488"
"CA-2014-116246","Normal","3785.292"
"CA-2014-163223","Normal","3769.56"
"CA-2015-102491","Normal","3747.93"
"CA-2014-131926","Normal","3745.63"
"CA-2017-102204","Normal","3740.510"
"CA-2014-115812","Normal","3714.304"
"CA-2015-158421","Normal","3631.96"
"US-2017-110576","Normal","3629.936"
"CA-2016-124590","Normal","3588.096"
"CA-2016-160717","Normal","3528.488"
"CA-2014-125997","Normal","3519.370"
"CA-2017-165323","Normal","3505.84"
"CA-2017-137596","Normal","3480.96"
"US-2014-148838","Normal","3455.130"
"CA-2015-124891","Normal","3419.872"
"CA-2017-166093","Normal","3397.732"
"CA-2015-164301","Normal","3393.68"
"CA-2015-131338","Normal","3385.614"
"US-2015-160857","Normal","3384.518"
"CA-2016-169663","Normal","3384.45"
"CA-2017-133865","Normal","3359.952"
"CA-2016-145625","Normal","3354.98"
"US-2016-126452","Normal","3339.122"
"CA-2014-117639","Normal","3333.90"
"US-2015-134558","Normal","3332.974"
"US-2015-150630","Normal","3329.434"
"CA-2017-122490","Normal","3321.278"
"CA-2017-143567","Normal","3291.07"
"CA-2014-144414","Normal","3290.516"
"CA-2015-135580","Normal","3251.34"
"US-2014-131275","Normal","3247.158"
"CA-2016-133711","Normal","3236.41"
"US-2015-163825","Normal","3184.356"
"CA-2015-121720","Normal","3165.744"
"CA-2016-135265","Normal","3136.868"
"CA-2014-119375","Normal","3116.49"
"CA-2017-133263","Normal","3098.61"
"CA-2017-141439","Normal","3083.94"
"CA-2017-159366","Normal","3059.982"
"CA-2017-152912","Normal","3013.78"
"US-2017-105935","Normal","3002.65"
"CA-2017-161956","Normal","2971.792"
"CA-2017-145219","Normal","2970.432"
"CA-2017-119284","Normal","2942.784"
"US-2017-163300","Normal","2911.784"
"US-2016-163881","Normal","2904.572"
"CA-2017-115602","Normal","2888.518"
"CA-2014-136567","Normal","2884.37"
"US-2016-116729","Normal","2875.544"
"CA-2014-120474","Normal","2854.48"
"CA-2014-133592","Normal","2846.22"
"CA-2016-129630","Normal","2824.23"
"CA-2015-164777","Normal","2803.92"
"US-2015-100377","Normal","2799.96"
"CA-2016-163804","Normal","2781.77"
"CA-2017-157854","Normal","2747.25"
"US-2017-141677","Normal","2737.672"
"CA-2014-154627","Normal","2735.952"
"CA-2015-139731","Normal","2717.31"
"CA-2014-127299","Normal","2692.329"
"CA-2017-123967","Normal","2690.74"
"US-2016-164196","Normal","2678.94"
"CA-2015-111038","Normal","2676.672"
"CA-2016-163167","Normal","2673.69"
"CA-2015-124450","Normal","2670.19"
"CA-2016-114489","Normal","2657.81"
"CA-2014-169019","Normal","2656.716"
"CA-2015-146563","Normal","2645.021"
"CA-2015-123113","Normal","2643.06"
"CA-2017-112333","Normal","2633.51"
"CA-2015-160227","Normal","2621.322"
"CA-2016-108987","Normal","2620.9376"
"CA-2017-134845","Normal","2613.309"
"US-2017-161935","Normal","2610.730"
"CA-2017-107174","Normal","2595.388"
"CA-2014-141313","Normal","2583.19"
"CA-2015-155306","Normal","2572.50"
"CA-2015-120677","Normal","2567.84"
"CA-2017-156776","Normal","2563.314"
"CA-2016-169670","Normal","2563.056"
"CA-2015-164882","Normal","2562.171"
"US-2016-114013","Normal","2550.587"
"CA-2016-168354","Normal","2545.12"
"CA-2015-162782","Normal","2541.98"
"CA-2015-105627","Normal","2531.88"
"CA-2017-168858","Normal","2521.48"
"CA-2015-109575","Normal","2503.82"
"CA-2016-104157","Normal","2503.47"
"CA-2017-160885","Normal","2479.96"
"US-2017-118087","Normal","2457.141"
"CA-2016-105081","Normal","2445.602"
"US-2017-162558","Normal","2437.672"
"US-2017-135013","Normal","2399.96"
"CA-2016-107202","Normal","2396.4"
"CA-2017-128363","Normal","2382.926"
"CA-2016-147256","Normal","2377.56"
"CA-2016-105732","Normal","2374.73"
"CA-2017-138975","Normal","2361.52"
"CA-2014-122931","Normal","2358.672"
"CA-2014-126683","Normal","2354.98"
"CA-2017-121027","Normal","2340.06"
"CA-2015-169796","Normal","2339.84"
"CA-2016-114727","Normal","2331.840"
"CA-2014-126403","Normal","2304.37"
"CA-2015-137974","Normal","2298.90"
"US-2016-113677","Normal","2294.90"
"CA-2017-120376","Normal","2283.43"
"CA-2017-150091","Normal","2258.28"
"CA-2017-157987","Normal","2255.868"
"CA-2015-135685","Normal","2233.02"
"CA-2017-149048","Normal","2229.18"
"CA-2015-113145","Normal","2220.06"
"CA-2014-110408","Normal","2216.80"
"CA-2015-130659","Normal","2201.864"
"US-2015-128090","Normal","2200.328"
"CA-2017-142090","Normal","2165.658"
"CA-2015-121783","Normal","2165.12"
"CA-2014-128524","Normal","2158.694"
"CA-2015-121797","Normal","2147.336"
"CA-2016-143805","Normal","2145.25"
"CA-2014-126361","Normal","2126.034"
"CA-2014-145387","Normal","2116.506"
"CA-2017-121790","Normal","2113.567"
"CA-2017-117212","Normal","2110.720"
"CA-2017-149559","Normal","2089.412"
"CA-2015-135622","Normal","2079.112"
"US-2016-108504","Normal","2075.51"
"CA-2016-131737","Normal","2073.35"
"CA-2016-168032","Normal","2067.796"
"CA-2014-166954","Normal","2061.01"
"CA-2014-169726","Normal","2060.744"
"CA-2017-123372","Normal","2059.85"
"CA-2016-133935","Normal","2056.006"
"CA-2014-131450","Normal","2049.816"
"CA-2017-141733","Normal","2049.534"
"CA-2015-113404","Normal","2048.856"
"US-2014-135972","Normal","2046.354"
"CA-2017-111738","Normal","2031.392"
"CA-2016-125087","Normal","2027.188"
"CA-2014-134313","Normal","2027.144"
"CA-2015-125976","Normal","2026.78"
"CA-2015-121188","Normal","2017.532"
"US-2017-118941","Normal","2017.32"
"US-2017-167318","Normal","2012.302"
"CA-2017-107517","Normal","2011.9"
"US-2016-131611","Normal","2007.9048"
"CA-2016-155530","Normal","2003.52"
"CA-2014-163748","Normal","2003.12"
"CA-2016-157791","Normal","1999.96"
"CA-2017-123491","Normal","1993.772"
"CA-2017-155880","Normal","1986.52"
"CA-2016-133725","Normal","1979.928"
"CA-2014-120768","Normal","1979.89"
"CA-2015-110863","Normal","1971.46"
"CA-2015-111514","Normal","1966.557"
"CA-2017-167752","Normal","1958.544"
"CA-2015-114069","Normal","1952.808"
"CA-2016-142335","Normal","1949.31"
"CA-2015-157084","Normal","1941.81"
"CA-2016-165330","Normal","1937.924"
"CA-2017-136308","Normal","1919.976"
"CA-2015-102582","Normal","1918.79"
"US-2017-112347","Normal","1915.624"
"CA-2015-160171","Normal","1910.7"
"CA-2014-154893","Normal","1897.92"
"CA-2017-159100","Normal","1893.786"
"CA-2014-126760","Normal","1891.316"
"US-2017-122714","Normal","1889.99"
"CA-2014-151330","Normal","1885.27"
"CA-2015-140984","Normal","1884.144"
"CA-2017-147760","Normal","1883.724"
"CA-2017-144491","Normal","1875.128"
"CA-2015-126725","Normal","1873.606"
"US-2017-105998","Normal","1872.934"
"US-2014-147627","Normal","1859.40"
"CA-2016-106950","Normal","1854.241"
"CA-2017-151799","Normal","1843.402"
"CA-2014-154599","Normal","1840.043"
"US-2017-167920","Normal","1827.51"
"US-2017-142188","Normal","1820.208"
"CA-2015-146262","Normal","1816.696"
"CA-2017-117324","Normal","1816.36"
"US-2017-158526","Normal","1814.68"
"CA-2014-124688","Normal","1812.01"
"CA-2017-119452","Normal","1805.88"
"CA-2016-126732","Normal","1804.248"
"CA-2015-134719","Normal","1801.632"
"US-2017-117723","Normal","1801.632"
"CA-2016-105459","Normal","1800.168"
"CA-2014-116666","Normal","1799.97"
"CA-2016-101546","Normal","1793.98"
"CA-2014-152268","Normal","1793.98"
"CA-2017-141789","Normal","1793.98"
"US-2015-127040","Normal","1782.17"
"CA-2017-112515","Normal","1782.104"
"CA-2014-107818","Normal","1771.52"
"CA-2017-152975","Normal","1770.19"
"CA-2014-103310","Normal","1769.784"
"CA-2016-153598","Normal","1761.85"
"CA-2015-141243","Normal","1757.8536"
"CA-2017-105669","Normal","1749.902"
"CA-2016-169838","Normal","1745.91"
"CA-2015-147788","Normal","1745.71"
"CA-2015-126557","Normal","1745.399"
"CA-2014-108147","Normal","1745.36"
"US-2017-100930","Normal","1735.8505"
"CA-2014-125829","Normal","1729.416"
"CA-2017-131254","Normal","1729.286"
"US-2015-126214","Normal","1717.97"
"CA-2015-115567","Normal","1716.16"
"CA-2017-113418","Normal","1704.89"
"CA-2016-152555","Normal","1702.380"
"CA-2017-145884","Normal","1702.03"
"US-2016-102239","Normal","1691.608"
"CA-2017-105914","Normal","1687.26"
"US-2015-163279","Normal","1685.456"
"CA-2014-131387","Normal","1679.96"
"CA-2014-157147","Normal","1679.749"
"US-2016-121013","Normal","1678.00"
"US-2016-165505","Normal","1672.31"
"US-2016-100461","Normal","1671.93"
"CA-2016-162390","Normal","1671.080"
"CA-2017-148446","Normal","1669.6"
"CA-2015-102281","Normal","1668.988"
"CA-2017-158729","Normal","1665.62"
"CA-2015-141565","Normal","1664.132"
"CA-2014-105984","Normal","1661.028"
"CA-2016-125220","Normal","1649.75"
"CA-2017-143063","Normal","1645.87"
"CA-2014-140858","Normal","1639.711"
"CA-2014-165309","Normal","1639.496"
"CA-2015-167010","Normal","1636.356"
"CA-2015-155600","Normal","1635.018"
"US-2017-120390","Normal","1633.188"
"CA-2016-127138","Normal","1632.362"
"CA-2017-118724","Normal","1629.712"
"CA-2016-121370","Normal","1628.610"
"CA-2016-130946","Normal","1616.704"
"CA-2014-150798","Normal","1614.124"
"CA-2016-102162","Normal","1611.01"
"CA-2014-124856","Normal","1609.32"
"CA-2016-105207","Normal","1604.73"
"CA-2016-152247","Normal","1603.136"
"CA-2016-128594","Normal","1603.136"
"CA-2016-150350","Normal","1599.864"
